"type","title","release_year"
"Movie","Fearless",2020
"Movie","Octonauts & the Caves of Sac Actun",2020
"Movie","Project Power",2020
"Movie","Gunjan Saxena: The Kargil Girl",2020
"Movie","Rob Schneider: Asian Momma, Mexican Kids",2020
"Movie","The Lost Husband",2020
"Movie","We Summon the Darkness",2020
"Movie","Berlin, Berlin: Lolle on the Run",2020
"Movie","The Magic School Bus Rides Again Kids In Space",2020
"Movie","Work It",2020
"Movie","Nasha Natasha",2020
"Movie","Anelka: Misunderstood",2020
"Movie","A Go! Go! Cory Carson Summer Camp",2020
"Movie","Malibu Rescue: The Next Wave",2020
"Movie","Sam Jay: 3 In The Morning",2020
"Movie","Almost Love",2020
"Movie","Rogue Warfare: The Hunt",2020
"Movie","Super Monsters: The New Class",2020
"Movie","Tumi or not Tumi",2020
"Movie","Latte and the Magic Waterstone",2020
"Movie","Raat Akeli Hai",2020
"Movie","Seriously Single",2020
"Movie","Sugar High",2020
"Movie","Uma Maheswara Ugra Roopasya",2020
"Movie","Shine Your Eyes",2020
"Movie","The Hater",2020
"Movie","The Speed Cubers",2020
"Movie","Banana Split",2020
"Movie","Door Ke Darshan",2020
"Movie","Double World",2020
"Movie","Animal Crackers",2020
"Movie","Dragons: Rescue Riders: Secrets of the Songwing",2020
"Movie","Offering to the Storm",2020
"Movie","Romance Doll",2020
"Movie","The Kissing Booth 2",2020
"Movie","The Larva Island Movie",2020
"Movie","Jack Whitehall: I'm Only Joking",2020
"Movie","Father Soldier Son",2020
"Movie","Fatal Affair",2020
"Movie","Little Singham: Legend of Dugabakka",2020
"Movie","The Players",2020
"Movie","Urzila Carlson: Overqualified Loser",2020
"Movie","We Are One",2020
"Movie","The Claudia Kishi Club",2020
"Movie","Ben Platt Live from Radio City Music Hall",2020
"Movie","The Old Guard",2020
"Movie","Mucho Mucho Amor: The Legend of Walter Mercado",2020
"Movie","Jim Jefferies: Intolerant",2020
"Movie","PNL - Dans la légende tour",2020
"Movie","Desperados",2020
"Movie","Hunter in the Blue Side of Manchester",2020
"Movie","Thiago Ventura: POKAS",2020
"Movie","Adú",2020
"Movie","Under the Riccione Sun",2020
"Movie","George Lopez: We'll Do It For Half",2020
"Movie","#FriendButMarried 2",2020
"Movie","Ride Like a Girl",2020
"Movie","Eurovision Song Contest: The Story of Fire Saga",2020
"Movie","Krishna and His Leela",2020
"Movie","Athlete A",2020
"Movie","Bulbbul",2020
"Movie","Nobody Knows I'm Here",2020
"Movie","Eric Andre: Legalize Everything",2020
"Movie","Kappela",2020
"Movie","Chaman Bahaar",2020
"Movie","Disclosure",2020
"Movie","Feel the Beat",2020
"Movie","Lost Bullet",2020
"Movie","One-Way to Tomorrow",2020
"Movie","Wasp Network",2020
"Movie","A Whisker Away",2020
"Movie","El límite infinito",2020
"Movie","One Take",2020
"Movie","Riding Faith",2020
"Movie","Asura Guru",2020
"Movie","Milea",2020
"Movie","Axone",2020
"Movie","Da 5 Bloods",2020
"Movie","Jo Koy: In His Elements",2020
"Movie","365 Days",2020
"Movie","Forensic",2020
"Movie","The Night Clerk",2020
"Movie","Choked: Paisa Bolta Hai",2020
"Movie","The Last Days of American Crime",2020
"Movie","Spelling the Dream",2020
"Movie","True: Rainbow Rescue",2020
"Movie","Chippa",2020
"Movie","Kenny Sebastian: The Most Interesting Person in the Room",2020
"Movie","Intuition",2020
"Movie","Hannah Gadsby: Douglas",2020
"Movie","One Day We'll Talk About Today",2020
"Movie","Si Doel the Movie 3",2020
"Movie","The Lovebirds",2020
"Movie","Mutiny of the Worker Bees",2020
"Movie","What Are the Odds?",2020
"Movie","Malang",2020
"Movie","The Wrong Missy",2020
"Movie","Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend",2020
"Movie","Have a Good Trip: Adventures in Psychedelics",2020
"Movie","John Henry",2020
"Movie","18 Presents",2020
"Movie","Becoming",2020
"Movie","Sí, Mi Amor",2020
"Movie","Jerry Seinfeld: 23 Hours To Kill",2020
"Movie","Luccas Neto em: Acampamento de Férias 2",2020
"Movie","Death Can Wait",2020
"Movie","Roped",2020
"Movie","The Stand at Paxton County",2020
"Movie","All Day and a Night",2020
"Movie","Go! Go! Cory Carson: The Chrissy",2020
"Movie","Mrs. Serial Killer",2020
"Movie","Psycho",2020
"Movie","The Half Of It",2020
"Movie","Bheeshma",2020
"Movie","Thomas & Friends: Marvelous Machinery: A New Arrival",2020
"Movie","Thomas & Friends: Marvelous Machinery: World of Tomorrow",2020
"Movie","Thomas & Friends: Thomas and the Royal Engine",2020
"Movie","Dangerous Lies",2020
"Movie","Rich in Love",2020
"Movie","A Secret Love",2020
"Movie","Murder to Mercy: The Cyntoia Brown Story",2020
"Movie","Love Aaj Kal",2020
"Movie","The Lift Boy",2020
"Movie","Yours Sincerely, Kanan Gill",2020
"Movie","Time to Hunt",2020
"Movie","Circus of Books",2020
"Movie","The Willoughbys",2020
"Movie","Varane Avashyamund",2020
"Movie","Earth and Blood",2020
"Movie","Rising High",2020
"Movie","Sergio",2020
"Movie","Maurício Meirelles: Generating Chaos",2020
"Movie","World Famous Lover",2020
"Movie","Chris D'Elia: No Pain",2020
"Movie","LA Originals",2020
"Movie","Love Wedding Repeat",2020
"Movie","The Main Event",2020
"Movie","Tigertail",2020
"Movie","Coffee & Kareem",2020
"Movie","Money Heist: The Phenomenon",2020
"Movie","Sol Levante",2020
"Movie","David Batra: Elefanten i rummet",2020
"Movie","SETHUM AAYIRAM PON",2020
"Movie","A truthful Mother",2020
"Movie","Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor",2020
"Movie","Kannum Kannum Kollaiyadithaal",2020
"Movie","Dragons: Rescue Riders: Hunt for the Golden Dragon",2020
"Movie","Maska",2020
"Movie","The Decline",2020
"Movie","True: Wuzzle Wegg Day",2020
"Movie","Uncorked",2020
"Movie","Making Unorthodox",2020
"Movie","Crip Camp: A Disability Revolution",2020
"Movie","The Occupant",2020
"Movie","Tom Segura: Ball Hog",2020
"Movie","A Life of Speed: The Juan Manuel Fangio Story",2020
"Movie","Ultras",2020
"Movie","Altered Carbon: Resleeved",2020
"Movie","Masameer - The Movie",2020
"Movie","Bert Kreischer: Hey Big Boy",2020
"Movie","Jai Mummy Di",2020
"Movie","Go Karts",2020
"Movie","Lost Girls",2020
